web_scraper_order,web_scraper_start_url,price,article_type,image_link,address
"1765119560-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905406_uploaded_image1_1567528116.55.png","Dakar, Sénégal"
"1765119560-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures  enfant","https://images.coinafrique.com/thumb_905401_uploaded_image1_1567528046.76.png","Dakar, Sénégal"
"1765119560-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905399_uploaded_image1_1567528008.97.png","Dakar, Sénégal"
"1765119560-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905397_uploaded_image1_1567527975.86.png","Dakar, Sénégal"
"1765119560-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905394_uploaded_image1_1567527922.13.png","Dakar, Sénégal"
"1765119560-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905388_uploaded_image1_1567527880.73.png","Dakar, Sénégal"
"1765119560-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","chaussures  enfant","https://images.coinafrique.com/thumb_905385_uploaded_image1_1567527792.61.png","Dakar, Sénégal"
"1765119560-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures  enfant","https://images.coinafrique.com/thumb_905383_uploaded_image1_1567527755.2.png","Dakar, Sénégal"
"1765119560-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905378_uploaded_image1_1567527715.54.png","Dakar, Sénégal"
"1765119560-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures pour enfant","https://images.coinafrique.com/thumb_905376_uploaded_image1_1567527683.78.png","Dakar, Sénégal"
"1765119560-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905373_uploaded_image1_1567527650.34.png","Dakar, Sénégal"
"1765119560-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905369_uploaded_image1_1567527617.39.png","Dakar, Sénégal"
"1765119560-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905367_uploaded_image1_1567527588.75.png","Dakar, Sénégal"
"1765119560-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905365_uploaded_image1_1567527559.02.png","Dakar, Sénégal"
"1765119560-15","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905363_uploaded_image1_1567527530.77.png","Dakar, Sénégal"
"1765119560-16","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_905360_uploaded_image1_1567527475.22.png","Dakar, Sénégal"
"1765119560-17","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Chaussures pour enfant","https://images.coinafrique.com/thumb_905353_uploaded_image1_1567527349.0.png","Dakar, Sénégal"
"1765119560-18","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","12 000CFA","Baskets","https://images.coinafrique.com/thumb_902727_uploaded_image1_1567471565.75.png","Dakar, Sénégal"
"1765119560-19","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","12 000CFA","Chaussures Enfants","https://images.coinafrique.com/thumb_902724_uploaded_image1_1567471369.88.png","Dakar, Sénégal"
"1765119560-20","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","10 000CFA","Chaussures enfants","https://images.coinafrique.com/thumb_894314_uploaded_image1_1567188587.1.png","Sénégal"
