web_scraper_order,web_scraper_start_url,price,article_type,image_link,address
"1765066130-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Chaussures Lebron James","https://images.coinafrique.com/thumb_2386645_uploaded_image1_1593770722.jpg","Dakar, Sénégal"
"1765066130-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","22 000CFA","Baskets Nike AF 1","https://images.coinafrique.com/thumb_2386637_uploaded_image1_1593770640.jpg","Dakar, Sénégal"
"1765066130-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","30 000CFA","Baskets Jordan","https://images.coinafrique.com/thumb_2386633_uploaded_image1_1593770604.jpg","Dakar, Sénégal"
"1765066130-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Baskets Nike Zoom","https://images.coinafrique.com/thumb_2386629_uploaded_image1_1593770564.jpg","Dakar, Sénégal"
"1765066130-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Baskets Nike 270","https://images.coinafrique.com/thumb_2386624_uploaded_image1_1593770518.jpg","Dakar, Sénégal"
"1765066130-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Baskets Nike 270","https://images.coinafrique.com/thumb_2386617_uploaded_image1_1593770476.jpg","Dakar, Sénégal"
"1765066130-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Baskets Puma","https://images.coinafrique.com/thumb_2386611_uploaded_image1_1593770437.jpg","Dakar, Sénégal"
"1765066130-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Baskets Puma","https://images.coinafrique.com/thumb_2386609_uploaded_image1_1593770410.jpg","Dakar, Sénégal"
"1765066130-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","29 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2386419_uploaded_image1_1593768307.jpg","Yoff, Dakar, Sénégal"
"1765066130-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","13 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2386260_uploaded_image1_1593766288.jpg","Guediawaye, Dakar, Sénégal"
"1765066130-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","13 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2385519_uploaded_image1_1593757240.jpg","Dakar, Sénégal"
"1765066130-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","13 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2385517_uploaded_image1_1593757206.jpg","Dakar, Sénégal"
"1765066130-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Prix sur demande","Mocassins homme","https://images.coinafrique.com/thumb_2385160_uploaded_image1_1593745304.jpg","Pikine, Sénégal"
"1765066130-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","5 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2385111_uploaded_image1_1593742949.jpg","Dieuppeul-Derklé, Dakar, Sénégal"
"1765066130-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","5 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2385093_uploaded_image1_1593742624.jpg","Dieuppeul-Derklé, Dakar, Sénégal"
"1765066130-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","5 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2385078_uploaded_image1_1593742360.jpg","Dieuppeul-Derklé, Dakar, Sénégal"
"1765066130-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Mocassins  homme","https://images.coinafrique.com/thumb_2385055_uploaded_image1_1593741993.jpg","Dakar, Sénégal"
"1765066130-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","10 000CFA","Chaussures Hommes","https://images.coinafrique.com/thumb_2384836_uploaded_image1_1593735329.jpg","Dakar, Sénégal"
"1765066130-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","11 000CFA","Chaussures homme Sebago","https://images.coinafrique.com/thumb_2384810_uploaded_image1_1593734980.jpg","Dakar, Sénégal"
"1765066130-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","5 000CFA","Sandales homme","https://images.coinafrique.com/thumb_2384696_uploaded_image1_1593733632.jpg","Dakar, Sénégal"
"1765066130-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","5 000CFA","Sandales mixtes","https://images.coinafrique.com/thumb_2384694_uploaded_image1_1593733587.jpg","Dakar, Sénégal"
"1765066130-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","5 000CFA","Sandales mixtes","https://images.coinafrique.com/thumb_2384685_uploaded_image1_1593733528.jpg","Dakar, Sénégal"
"1765066130-23","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","5 000CFA","Sandales homme - femme","https://images.coinafrique.com/thumb_2384680_uploaded_image1_1593733475.jpg","Dakar, Sénégal"
"1765066130-24","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","13 000CFA","Sandales  homme","https://images.coinafrique.com/thumb_2384431_uploaded_image1_1593730090.jpg","Guediawaye, Dakar, Sénégal"
"1765066130-25","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","13 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2384408_uploaded_image1_1593729667.jpg","Guediawaye, Dakar, Sénégal"
"1765066130-26","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","13 000CFA","Babouches homme","https://images.coinafrique.com/thumb_2384395_uploaded_image1_1593729559.jpg","Guediawaye, Dakar, Sénégal"
"1765066130-27","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2384227_uploaded_image1_1593727229.jpg","Guediawaye, Dakar, Sénégal"
"1765066130-28","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","13 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2383547_uploaded_image1_1593715720.jpg","Dakar, Sénégal"
"1765066130-29","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Prix sur demande","Chaussure Nike Air Max","https://images.coinafrique.com/thumb_2382834_uploaded_image1_1593706910.jpg","Dakar, Sénégal"
"1765066130-30","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","22 500CFA","Baskets Nike Air Max 95","https://images.coinafrique.com/thumb_2382277_uploaded_image1_1593700703.jpg","Parcelle Assainies, Dakar, Sénégal"
"1765066130-31","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Baskets homme","https://images.coinafrique.com/thumb_2381990_uploaded_image1_1593697677.jpg","Dakar, Sénégal"
"1765066130-32","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Baskets Nike Air","https://images.coinafrique.com/thumb_2381164_uploaded_image1_1593689401.jpg","Dakar, Sénégal"
"1765066130-33","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","30 000CFA","Baskets Jordan","https://images.coinafrique.com/thumb_2381159_uploaded_image1_1593689347.jpg","Dakar, Sénégal"
"1765066130-34","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Baskets Puma","https://images.coinafrique.com/thumb_2381156_uploaded_image1_1593689310.jpg","Dakar, Sénégal"
"1765066130-35","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","22 000CFA","Baskets Nike","https://images.coinafrique.com/thumb_2381150_uploaded_image1_1593689277.jpg","Dakar, Sénégal"
"1765066130-36","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Baskets Nike","https://images.coinafrique.com/thumb_2381149_uploaded_image1_1593689248.jpg","Dakar, Sénégal"
"1765066130-37","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Prix sur demande","Baskets","https://images.coinafrique.com/thumb_2381138_uploaded_image1_1593689122.jpg","Dakar, Sénégal"
"1765066130-38","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Baskets Nike","https://images.coinafrique.com/thumb_2381135_uploaded_image1_1593689108.jpg","Dakar, Sénégal"
"1765066130-39","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Baskets Nike","https://images.coinafrique.com/thumb_2381110_uploaded_image1_1593688845.jpg","Dakar, Sénégal"
"1765066130-40","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Baskets LeBron James","https://images.coinafrique.com/thumb_2381103_uploaded_image1_1593688764.jpg","Dakar, Sénégal"
"1765066130-41","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Baskets LeBron James","https://images.coinafrique.com/thumb_2381097_uploaded_image1_1593688686.jpg","Dakar, Sénégal"
"1765066130-42","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","2 500CFA","Baskets LeBron James","https://images.coinafrique.com/thumb_2381088_uploaded_image1_1593688597.jpg","Dakar, Sénégal"
"1765066130-43","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Baskets LeBron James","https://images.coinafrique.com/thumb_2381083_uploaded_image1_1593688561.jpg","Dakar, Sénégal"
"1765066130-44","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","22 500CFA","Baskets Nike Air Force One","https://images.coinafrique.com/thumb_2381080_uploaded_image1_1593688525.jpg","Dakar, Sénégal"
"1765066130-45","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Baskets Nike Zoom","https://images.coinafrique.com/thumb_2381075_uploaded_image1_1593688494.jpg","Dakar, Sénégal"
"1765066130-46","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Baskets Jordan One","https://images.coinafrique.com/thumb_2381072_uploaded_image1_1593688447.jpg","Dakar, Sénégal"
"1765066130-47","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Baskets Nike Air","https://images.coinafrique.com/thumb_2381060_uploaded_image1_1593688296.jpg","Dakar, Sénégal"
"1765066130-48","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Baskets Puma","https://images.coinafrique.com/thumb_2381051_uploaded_image1_1593688201.jpg","Dakar, Sénégal"
"1765066130-49","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","22 500CFA","Baskets Nike","https://images.coinafrique.com/thumb_2381046_uploaded_image1_1593688175.jpg","Dakar, Sénégal"
"1765066130-50","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Baskets Jordan","https://images.coinafrique.com/thumb_2381043_uploaded_image1_1593688137.jpg","Dakar, Sénégal"
"1765066130-51","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","22 000CFA","Baskets Puma","https://images.coinafrique.com/thumb_2381037_uploaded_image1_1593688096.jpg","Dakar, Sénégal"
"1765066130-52","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Baskets Nike Air","https://images.coinafrique.com/thumb_2381032_uploaded_image1_1593688049.jpg","Dakar, Sénégal"
"1765066130-53","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Baskets Nike Air Force One","https://images.coinafrique.com/thumb_2381029_uploaded_image1_1593688002.jpg","Dakar, Sénégal"
"1765066130-54","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","11 000CFA","Mocassins Sebago","https://images.coinafrique.com/thumb_2379097_uploaded_image1_1593647183.jpg","Dakar, Sénégal"
"1765066130-55","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","10 000CFA","Mocassins Sebago","https://images.coinafrique.com/thumb_2379094_uploaded_image1_1593647133.jpg","Dakar, Sénégal"
"1765066130-56","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","10 000CFA","Mocassins Sebago","https://images.coinafrique.com/thumb_2379089_uploaded_image1_1593647078.jpg","Dakar, Sénégal"
"1765066130-57","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Prix sur demande","Chaussures homme","https://images.coinafrique.com/thumb_2378954_uploaded_image1_1593645418.jpg","Sicap Liberté, Dakar, Sénégal"
"1765066130-58","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Prix sur demande","Chaussures homme","https://images.coinafrique.com/thumb_2378915_uploaded_image1_1593645061.jpg","Sicap Liberté, Dakar, Sénégal"
"1765066130-59","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Baskets AE7","https://images.coinafrique.com/thumb_2378174_uploaded_image1_1593633287.jpg","Grand Dakar, Dakar, Sénégal"
"1765066130-60","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Chaussures Air Nike","https://images.coinafrique.com/thumb_2378153_uploaded_image1_1593633013.jpg","Grand Dakar, Dakar, Sénégal"
"1765066130-61","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Prix sur demande","Baskets Adidas","https://images.coinafrique.com/thumb_2377997_uploaded_image1_1593630610.jpg","Dakar, Sénégal"
"1765066130-62","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Prix sur demande","Chaussures Prada cloudbust thunder","https://images.coinafrique.com/thumb_2377910_uploaded_image1_1593629223.jpg","Dakar, Sénégal"
"1765066130-63","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Baskets Nike","https://images.coinafrique.com/thumb_2377364_uploaded_image1_1593623348.jpg","Dakar, Sénégal"
"1765066130-64","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Baskets Nike","https://images.coinafrique.com/thumb_2377358_uploaded_image1_1593623299.jpg","Dakar, Sénégal"
"1765066130-65","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Baskets  homme","https://images.coinafrique.com/thumb_2377289_uploaded_image1_1593622297.jpg","Thies, Sénégal"
"1765066130-66","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","13 000CFA","Chaussures homme","https://images.coinafrique.com/thumb_2377090_uploaded_image1_1593620055.jpg","Guediawaye, Dakar, Sénégal"
"1765066130-67","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","15 000CFA","Chaussure Nike","https://images.coinafrique.com/thumb_2376952_uploaded_image1_1593618542.jpg","Dakar, Sénégal"
"1765066130-68","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Chaussures Alexander MC Queen","https://images.coinafrique.com/thumb_2376950_uploaded_image2_1593618507.jpeg","Dakar, Sénégal"
"1765066130-69","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Baskets McQueen","https://images.coinafrique.com/thumb_2376946_uploaded_image1_1593618467.jpg","Dakar, Sénégal"
"1765066130-70","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","12 000CFA","Sandales homme","https://images.coinafrique.com/thumb_2376547_uploaded_image1_1593613116.jpg","Dakar, Sénégal"
