web_scraper_order,web_scraper_start_url,price,article_type,image_link,address
"1765125586-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Prix sur demande","Grenouillère - Ensemble Femme","https://images.coinafrique.com/thumb_740349_uploaded_image1_1562956490.71.png","Guediawaye, Dakar, Sénégal"
"1765125586-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","35 000CFA","Robe pour enfant","https://images.coinafrique.com/thumb_739801_uploaded_image1_1562946241.61.png","Dieuppeul-Derklé, Dakar, Sénégal"
"1765125586-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","8 000CFA","Couches et vêtements enfants","https://images.coinafrique.com/thumb_735868_uploaded_image1_1562861740.96.png","Ngor, Dakar, Sénégal"
"1765125586-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","20 000CFA","Costume enfant","https://images.coinafrique.com/thumb_735207_uploaded_image1_1562852018.04.png","Médina, Dakar, Sénégal"
"1765125586-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","18 000CFA","Abaya enfant 2 ans - 5 ans","https://images.coinafrique.com/thumb_727626_uploaded_image1_1562678215.71.png","Les Parcelles Assainies, Dakar, Sénégal"
"1765125586-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Prix sur demande","Abaya enfant Spéciale Tabaski","https://images.coinafrique.com/thumb_725848_uploaded_image1_1562624169.32.png","Les Parcelles Assainies, Dakar, Sénégal"
"1765125586-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue enfant","https://images.coinafrique.com/thumb_724146_uploaded_image1_1562589336.01.png","Dakar, Sénégal"
"1765125586-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue enfant","https://images.coinafrique.com/thumb_724143_uploaded_image1_1562589274.19.png","Dakar, Sénégal"
"1765125586-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue pour enfant","https://images.coinafrique.com/thumb_724138_uploaded_image1_1562589114.05.png","Dakar, Sénégal"
"1765125586-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue pour enfant","https://images.coinafrique.com/thumb_724135_uploaded_image1_1562589070.16.png","Dakar, Sénégal"
"1765125586-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue enfant","https://images.coinafrique.com/thumb_724130_uploaded_image1_1562588990.25.png","Dakar, Sénégal"
"1765125586-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue enfant","https://images.coinafrique.com/thumb_724128_uploaded_image1_1562588912.66.png","Dakar, Sénégal"
"1765125586-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue pour enfant","https://images.coinafrique.com/thumb_724122_uploaded_image1_1562588821.84.png","Dakar, Sénégal"
"1765125586-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue enfant","https://images.coinafrique.com/thumb_724115_uploaded_image1_1562588760.4.png","Dakar, Sénégal"
"1765125586-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue enfant","https://images.coinafrique.com/thumb_724113_uploaded_image1_1562588710.7.png","Dakar, Sénégal"
"1765125586-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue pour enfant","https://images.coinafrique.com/thumb_724109_uploaded_image1_1562588631.85.png","Dakar, Sénégal"
"1765125586-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue pour enfant","https://images.coinafrique.com/thumb_724102_uploaded_image1_1562588582.95.png","Dakar, Sénégal"
"1765125586-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue pour enfant","https://images.coinafrique.com/thumb_724091_uploaded_image1_1562588225.16.png","Dakar, Sénégal"
"1765125586-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","10 000CFA","Tenue pour enfant","https://images.coinafrique.com/thumb_724081_uploaded_image1_1562588040.19.png","Dakar, Sénégal"
