web_scraper_order,web_scraper_start_url,article_type,price,address,image_link
1764948536-1,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Lacoste,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2192589_uploaded_image1_1590750101.jpg
1764948536-2,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Ensemble t-shirt + culotte,12 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_2190286_uploaded_image1_1590713796.jpg
1764948536-3,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Ensemble homme,13 500CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_2190282_uploaded_image1_1590713706.jpg
1764948536-4,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Tee-shirt unique,3 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2190205_uploaded_image1_1590711685.jpg
1764948536-5,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Ensemble homme,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2189970_uploaded_image1_1590708428.jpg
1764948536-6,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Ensemble homme,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2189968_uploaded_image1_1590708403.jpg
1764948536-7,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Ensemble Homme,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2189966_uploaded_image1_1590708372.jpg
1764948536-8,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Pantalon Kaki,6 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2189902_uploaded_image1_1590707627.jpg
1764948536-9,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Pantalon kaki,6 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2189898_uploaded_image1_1590707584.jpg
1764948536-10,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Pantalon kaki,6 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2189892_uploaded_image1_1590707546.jpg
1764948536-11,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Pantalons,8 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2189890_uploaded_image1_1590707517.jpg
1764948536-12,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Pantalon homme,8 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2189887_uploaded_image1_1590707485.jpg
1764948536-13,https://sn.coinafrique.com/categorie/vetements-homme?page=119,Pantalons homme,8 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2189885_uploaded_image1_1590707453.jpg
